label	text_a
3	As soon as they caught sight of her, they saw she was very pretty, and it made them very sorry to think that she must go and live with the ugly toads.
1	Presently the scream of an eagle sounded through the wood; it was an ugly cry, and it frightened the children; but before them, in the thickest part of the forest, grew the most beautiful blackberries, in wonderful quantities.
2	The emperor ordered them to be carried into the great hall where the princess was just playing "Visitors are coming" with her ladies-in-waiting; when she saw the large cases with the presents therein, she clapped her hands for joy.
4	Then the king put in a word, and said, "Each of you is right; and as all cannot have the young lady, the best way is for neither of you to have her: for the truth is, there is somebody she likes a great deal better.
2	So the boy stayed with them, and the woman herself taught him to sew; and he ate well, and slept well, and became very merry.
3	Then he fetched other older maps, and they went on looking for the castle until at last they found it, but it was many thousand miles away.
1	As he now feared that the step-mother might not treat them well, and even do them some injury, he took them to a lonely castle which stood in the midst of a forest.
3	When he saw that it was impossible to reach her, he was greatly grieved, and said to himself, "I will remain here and wait for her," so he built himself a little hut, and there he sat and watched for a whole year, and every day he saw the king"s daughter driving round her castle, but still was unable to get nearer to her.
2	Now the white snake was an enchanted princess; and she was very glad to see him, and said, "Are you at last come to set me free?
1	There was a nice hot singey smell; and at the table, with an iron in her hand, stood a very stout short person staring anxiously at Lucie.
3	The duckling remembered the lovely birds, and felt more strangely unhappy than ever.
0	The bear in great fury ran after the carriage.
2	Then he aimed a great blow, and struck the wolf on the head, and killed him on the spot! and when he was dead they cut open his body, and set Tommy free.
2	And Mr. Bouncer laughed and coughed, and shut his eyes because of the cabbage smoke ..........
0	The maiden looked for strawberries outside, but as she found none, she went angrily home.
0	And the eyes of all sparkled with malice.
0	I fell into a great rage at this, pulled out a pistol and discharged it at the monster; but the ball rebounded from his breast and went into my horse"s head.
1	My wife will be anxious!"
2	At length his longing was satisfied.
3	Anne Lisbeth went forth from the castle into the public road, feeling mournful and sad; he whom she had nursed day and night, and even now carried about in her dreams, had been cold and strange, and had not a word or thought respecting her.
3	The grand, majestic oak could not be quite happy in the midst of his enjoyment, while all the rest, both great and small, were not with him.
3	With silent steps, still sobbing, they left the room.
0	"There is no real pleasure in travelling," said mamma; "to tell the truth, it's very wearisome; I beg pardon for saying so.
3	Shivering with cold and hunger, she crept along; poor little child, she looked the picture of misery.
0	He spoke very excitedly, saying that their evil propensities would not be destroyed, nor would the fire be extinguished, and they should never find rest.
3	He saw a small wooden hut, made his way to it, and crept inside --"I am afraid it IS a hen house, but what can I do?" said Pigling Bland, wet and cold and quite tired out.
2	The ladies danced and clapped their hands for joy.
4	"Oh!" cried the devil, "what are you doing?"
2	He will be the joy of our home; and we old folks have nothing else to live for.
0	His whiskers bristled and his coat collar stood on end with rage.
2	When the king returned to his palace, his daughter went to meet him, and wished him joy of his victory.
4	Then the prince got down and looked at her foot; and he saw, by the blood that streamed from it, what a trick she had played him.
2	The coast once clear, our travellers soon sat down and dispatched what the robbers had left, with as much eagerness as if they had not expected to eat again for a month.
2	Here she slept at night, but during the day she amused herself on a table, where the woman had placed a plateful of water.
4	The young family were alive; shut up in the oven!
2	So they said, "Well, we cannot say we have not got what we wished for, and, little as he is, we will love him dearly."
0	He was in disgrace; Flopsy wrung her ears, and slapped him.
3	Then he would cry, but what nobody knows nobody cares for; so he would cry till he was tired, and then fall asleep; and while we are asleep we can feel neither hunger nor thirst.
3	Oh, how wretched I am!"
2	"We make it lively about the house," said the sparrow-mother; "and people say that a swallows' nest brings luck; so they are glad of us.
2	He sat and smiled, and the water dripped off his coat tails.
3	It certainly is a sin and a shame that they are not eaten at the right time!"
3	"You are right," said the emperor, and began to cry like a little child.
3	Then he offered the dwarfs money, and prayed and besought them to let him take her away; but they said, "We will not part with her for all the gold in the world."
2	And then the tree related the whole story; he could remember every single word, and the little mice was so delighted with it, that they were ready to jump to the top of the tree.
2	He now felt glad at having suffered sorrow and trouble, because it enabled him to enjoy so much better all the pleasure and happiness around him; for the great swans swam round the new-comer, and stroked his neck with their beaks, as a welcome.
3	The old grandfather wiped his eyes, for he had known King Frederick, with his silvery locks and his honest blue eyes, and had lived for him, and he folded his hands and remained for some time silent.
4	But round the end of a cucumber frame, whom should he meet but Mr. McGregor!
2	Ribby and Duchess said good-bye affectionately, and Duchess started home.
2	Then she rejoiced much at the thoughts of seeing her father once more, and set out with the lions; and everyone was overjoyed to see her, for they had thought her dead long since.
0	He now flew into a very great passion, and, suspecting the company who had come in the night before, he went to look after them, but they were all off; so he swore that he never again would take in such a troop of vagabonds, who ate a great deal, paid no reckoning, and gave him nothing for his trouble but their apish tricks.
2	Then the old man came back with a pleasant face; and brought with him beautiful preserved fruits, as well as apples and nuts; and the little boy thought no more of the tin soldier.
3	One day little Lucie came into the farm-yard crying--oh, she did cry so!
1	Hansel and Gretel were so terribly frightened that they let fall what they had in their hands.
2	The long and beautiful day had been so full of joy and sweet delights, that when the sun sank low it felt tired of all its happiness and enjoyment.
4	As soon as it was midnight, there came in two little naked dwarfs; and they sat themselves upon the shoemaker"s bench, took up all the work that was cut out, and began to ply with their little fingers, stitching and rapping and tapping away at such a rate, that the shoemaker was all wonder, and could not take his eyes off them.
0	Then the Princess would say, "He is of no use!
4	So she ordered the servant to bring the seventh horse, and when the miller saw it, he said that such a horse as that had never yet entered his yard.
2	What rejoicing there was!
3	She found him sleeping heavily, and all her efforts to awaken him were of no avail.
0	Then the two were so angry at this that they grew green and yellow.
2	And the Queen, when she had received the letter and read it, did as was written in it, and had a splendid wedding-feast prepared, and the King"s daughter was married to the luck-child, and as the youth was handsome and agreeable she lived with him in joy and contentment.
2	He seemed a merry fellow.
2	As he jogged along over the fields, singing and dancing, a little dwarf met him, and asked him what made him so merry.
1	But just at that moment somebody knocked at the front door, and Moppet jumped into the flour barrel in a fright.
3	Oh, my poor child," and she burst into tears.
2	But she only said this to frighten Jack the Dullard; and the clerks gave a great crow of delight, and each one spurted a blot out of his pen on to the floor.
2	They came to the river, they came to the bridge--they crossed it hand in hand--then over the hills and far away she danced with Pigling Bland!
4	And then all of a sudden--Miss Moppet jumps upon the Mouse!
0	Then the King grew angry, and ordered his wife to be cast into prison, and therein was she shut up for many long years.
2	At the birth of her first little child she was very glad, and forgot the dwarf, and what she had said.
4	The King said, "Ah, heavens! what is this?
0	"What does that matter," said the cat, "it is no worse than Crumb-stealer, as your godchildren are called."
2	He looked very jovial, did little work, and had the more holidays.
2	She has a hymn-book with large silver clasps, in which she often reads; and in the book, between the leaves, lies a rose, quite flat and dry; it is not so pretty as the roses which are standing in the glass, and yet she smiles at it most pleasantly, and tears even come into her eyes.
1	The rabbits crept up carefully, listening and peeping.
1	While Tom Kitten was left alone under the floor of the attic, he wriggled about and tried to mew for help.
3	During the whole week she was sad and wept many bitter tears, but when Sunday came again she said: "Now I have suffered and striven enough.
3	They were both very unhappy, but agreed to make the best of things and to remain with one another.
2	The first day she was very obedient and industrious, and exerted herself to please Mother Holle, for she thought of the gold she should get in return.
2	Now the king felt great joy at this, and commanded that his entire household should eat with him next day, and made a great feast.
4	The cat was too much surprised to scratch back.
0	At last the prince had his own statue erected on the public places and fixed on the royal palaces; nay, he even wished it to be placed in the churches, on the altars, but in this the priests opposed him, saying: "Prince, you are mighty indeed, but God's power is much greater than yours; we dare not obey your orders."
3	Alfred wept, and mamma wept, and they both wore mourning.
0	I got tired at last of those endless Madonnas; I began to think I was turning into a Madonna myself."
1	"I would rather you let that alone," said the man, "for I do not willingly give myself up to be eaten; if you are wanting food I have enough to satisfy your hunger."
1	It was the first hour of her awakening, full of anguish and horror.
2	The nightingale sang so sweetly that the tears came into the emperor's eyes, and then rolled down his cheeks, as her song became still more touching and went to every one's heart.
1	There was once a miller who had one beautiful daughter, and as she was grown up, he was anxious that she should be well married and provided for.
1	He thought to himself, "If the giant sees me going in, my life will not be worth much."
4	The tailor, who had watched the fight with astonishment, was still standing there motionless, when the stag in full career bounded up to him, and before he could escape, caught him up on his great horns.
0	This vexes me more than anything.
2	She laid good eggs, and her mistress loved her as if she had been her own child.
0	When he was outside the house, he scratched up the earth with fury.
0	At last he said: "Oh, you wretched beard-cleaner, you piebald fool, you hungry mouse-hunter, what can you be thinking of?
0	Hans went into the parlour, but the miller said he should not sit down to table, for he was so ragged and torn, that they would all be ashamed of him if any one came in.
0	Then he carried the child away to a secret place, where a nurse was obliged to suckle it, and he ran to the king and accused the queen of having allowed her child to be taken from her by the wild beasts.
2	Then the queen took pity on the little fish, and threw it back again into the river; and before it swam away it lifted its head out of the water and said, "I know what your wish is, and it shall be fulfilled, in return for your kindness to me--you will soon have a daughter."
3	"And I, poor fellow," said the drover, "I who am so old already, cannot get there."
2	But I am fragrant with perfume, for close to my gates most lovely roses bloom."
0	But inside the church the pastor stood in the pulpit, and spoke very loudly and angrily.
4	As I could not conceive from whence it came, I wanted to summon my waiting-maid who slept in the next room, but to my astonishment I found that speech was taken away from me by an unknown force.
1	So the huntsmen took it up, and the maiden awoke and was greatly frightened, and said, "I am a poor child that has neither father nor mother left; have pity on me and take me with you."
0	Jemima complained of the superfluous hen.
0	"No, you gave it me for playing a tune to you." said the countryman; but the judge told him that was not likely, and cut the matter short by ordering him off to the gallows.
0	"You sit at home," said the cat, "in your dark-grey fur coat and long tail, and are filled with fancies, that"s because you do not go out in the daytime."
3	Meantime little Heinel grew up, and as the end of the twelve years drew near the merchant began to call to mind his bond, and became very sad and thoughtful; so that care and sorrow were written upon his face.
2	In the morning when he awoke, the three days had passed, and a coach came with six horses and they shone so bright that it was delightful to see them! and a servant brought a seventh as well, which was for the poor miller"s boy.
2	The paralysed girl sits in the warm sunshine and can see the wood and the lake; the world had become so large, so beautiful, and only through a single word from the kind mistress of the mansion.
3	Little Marleen went upstairs and took her best silk handkerchief out of her bottom drawer, and in it she wrapped all the bones from under the table and carried them outside, and all the time she did nothing but weep.
2	"He is still alive," said the huntsman; "and I am glad that I had pity on him, but let him go in peace, and brought home his royal coat."
4	He was very much astonished, and called his wife and said to her, "Tell me, what can have happened?
4	"Heaven preserve us!" he thought, and opened his eyes wide, "I cannot see anything at all," but he did not say so.
2	"If I have only a piece of bread (and I certainly shall always be able to get that), I can, whenever I like, eat my butter and cheese with it; and when I am thirsty I can milk my cow and drink the milk: and what can I wish for more?"
2	The old washerwoman put her head in at the door, and nodded to him quite kindly, and said, "Many thanks, you good child, for your help yesterday.
0	Gretel was not idle; she ran screaming to her master, and cried: "You have invited a fine guest!"
1	At length she became uneasy, and wakened the boy, and asked: "Do you know where my husband is?
2	Then she saw that her deliverance was near, and her heart leapt with joy.
3	Then he was much troubled, and made known to the whole land that whosoever brought his daughters back again should have one of them to wife.
1	The bridegroom, who during this recital had grown deadly pale, up and tried to escape, but the guests seized him and held him fast.
2	The moment he had gone, Tommy Brock got up in a hurry; he rolled Mr. Tod's dressing-gown into a bundle, put it into the bed beneath the pail of water instead of himself, and left the room also-- grinning immensely.
1	They were still not safe; for he was such a great beast that in his fall he overset the boat, and they had to swim in the open sea upon a few planks.
0	Then the step-mother was still more enraged, and thought of nothing but how to do every possible injury to the man"s daughter, whose beauty, however, grew daily greater.
3	Then he sat down by the grave, and wept and mourned, till at last he died too; and so all were dead.
0	"Mind your own affairs, busybody!" said the prince scornfully, and rode on.
1	But he soon found out where he really was; and was forced to have all his wits about him, that he might not get between the cow"s teeth, and so be crushed to death.
3	Then he took leave of his father, and set himself in the boat, but before it got far off a wave struck it, and it fell with one side low in the water, so the merchant thought that poor Heinel was lost, and went home very sorrowful, while the dwarf went his way, thinking that at any rate he had had his revenge.
1	She was obliged to step over the bodies of the sleepers, who were lying close together, and every moment she was filled with renewed dread lest she should awaken them.
4	At last the rope gave way with such a sudden jerk that it nearly pulled his teeth out, and quite knocked him over backwards.
2	Benjamin was so excited that it was a mercy he did not awake Tommy Brock, whose snores continued solemnly in Mr. Tod's bed.
0	"That was ill done, Hans, you should have cast friendly eyes on her."
0	"My friends will arrive in a minute, and you are not fit to be seen; I am affronted," said Mrs. Tabitha Twitchit.
3	Then poor Lily was led away, and forced to give up the golden dress; and when she saw that there was no help for her, she went out into a meadow, and sat herself down and wept.
0	Then he really did feel warm.
2	And they all rejoiced, and embraced him and kissed him without stopping.
1	At these words an icy shudder ran through the sparrow-mother.
1	Only tangled grass, and yet she was frightened at it.
2	At her side sits a young man, tall and strong; he gives her a rose and she smiles.
2	They embraced their dear mother, and jumped like a tailor at his wedding.
1	However, after a while he summoned up courage and went forward.
3	The king"s son was beside himself with pain, and in his despair he leapt down from the tower.
2	And then Ashputtel took the dishes to her mother, rejoicing to think that she should now go to the ball.
0	Her Puggie had seated itself on the ground while she wrote, and growled; for the dog had come with her for amusement and for the sake of its health; and then the bare floor ought not to be offered to a visitor.
0	"There may be black snails, no doubt," said the old snail; "black snails without houses; but they are so vulgar and conceited too.
1	Great Claus got so frightened that he rushed out of the surgery, jumped into the cart, whipped up his horses, and drove home quickly.
3	"Alas! dear sir," said she, "yonder lies the granite rock where all the costly diamonds grow, and I want so much to go there, that whenever I think of it I cannot help being sorrowful, for who can reach it? only the birds and the flies--man cannot."
0	Then a vise was brought, and the bear put his claws in it, and the little tailor screwed it tight, and said, "Now wait until I come with the scissors," and he let the bear growl as he liked, and lay down in the corner on a bundle of straw, and fell asleep.
2	It touched the tin soldier so much to see her that he almost wept tin tears, but he kept them back.
2	How happy and delighted the little boy was; and after he returned home, and while days and weeks passed, a great deal of nodding took place from one house to the other, and then the little boy went to pay another visit.
2	"Look, mother," said the man, "at the beautiful bird that is singing so magnificently; and how warm and bright the sun is, and what a delicious scent of spice in the air!"
2	The bean thanked him most prettily, but as the tailor used black thread, all beans since then have a black seam.
0	The devil jumped up, roared out, and would have treated her ill if she had not quieted him once more and said, "Who can help bad dreams?"
3	"They say that he was once an energetic young man, that he studied the dead languages, and sang and even composed many songs; then something had happened to him, and in consequence of this he gave himself up to drink, body and mind.
3	If he dried his eyes with his nightcap, then the tear and the picture would be crushed; but the source of the tears remained and welled up again in his heart.
0	Mr. Tod slapped his stick upon the earth and fumed; he guessed where Tommy Brock had gone to.
2	This was my destiny; it is quite a blessing.
2	"All went off well," answered the cat.
1	Then the mannikin screamed terribly, and cried, "Stop, stop, and let me go, and I will tell thee where the King"s daughters are."
3	The branches of the old willow-tree rustled in the wind, and large water-drops fell from his green leaves as if the old willow were weeping.
0	"The rats get upon my nerves, Cousin Ribby," said Tabitha.
2	So when Frederick and Catherine came down, there they found all their money safe and sound.
2	In her joy she hastily gathered her basket full, thanked the little men, shook hands with each of them, and ran home to take her step-mother what she had longed for so much.
3	They were telling one another of all the places where they had been waddling about all the morning, and what good food they had found; and one said in a pitiful tone: "Something lies heavy on my stomach; as I was eating in haste I swallowed a ring which lay under the queen"s window."
1	And now the two sat down to the table together, but the miller"s wife was frightened to death, and went to bed and took all the keys with her.
2	"Well," said the man, "now we will live cheerful and happy in this beautiful castle for the rest of our lives."
4	When the time came the mother harnessed the horse to the cart, and put Tom into his ear; and as he sat there the little man told the beast how to go, crying out, "Go on!" and "Stop!" as he wanted: and thus the horse went on just as well as if the woodman had driven it himself into the wood.
0	I was soon very tired of it, although I had my children with me; and, besides, it's very expensive work travelling, very expensive.
2	He went inside, and said, "See, what a splendid bird that is; he has given me this beautiful gold chain, and looks so beautiful himself."
0	"Well, then, why do you lie in my way?" she retorted, "you must not be so touchy.
0	"Go out of my sight," said the emperor, for he was very angry; and both the princess and the swineherd were banished from the empire.
4	"Bless me!" cried the miller, and went there and found the wine.
0	Little Benjamin did not very much want to see his Aunt.
2	It became a splendid flower-garden to the sick boy, and his little treasure upon earth.
0	"Ah! wretch that I am!" sighed she; "why did I not marry King Grisly-beard?"
4	"All-gone," cried the mouse "that is the most suspicious name of all!
2	How pretty she was! and such a singer! not a theatre singer, nor a ballad singer; no, but a singer of the woods; for she wandered through the gay green forest, and had a concert there for her own amusement.
3	One day her mother said to her: "Come, Little Red-Cap, here is a piece of cake and a bottle of wine; take them to your grandmother, she is ill and weak, and they will do her good.
3	The pieces were placed in a fire under the copper, and they quickly blazed up brightly, while the tree sighed so deeply that each sigh was like a pistol-shot.
4	Ribby stared with amazement-- "Did you ever see the like! so there really WAS a patty-pan?
0	"Now look at her arrogance," cried the step-sister, "to throw about gold in that way!" but she was secretly envious of it, and wanted to go into the forest also to seek strawberries.
2	"Oh," said Jack the Dullard, "I can hardly tell you.
0	The hen who had lost the loose little feather naturally did not recognise her own story, and being a respectable hen, said: "I despise those fowls; but there are more of that kind.
3	I suppose he is under the ground now; and Ida- alas! alas! it is not ended yet; miserable that I am!
4	"Look sharp!" said the king to the huntsmen, "and see what sort of game lies there."
2	Then the maiden looked at them and recognized her brothers, was glad and crept forth from beneath the bed.
2	"Well," said they, "you are come back, and we will not sell you again for all the riches in the world."
3	One morning the wood-cutter went out sorrowfully to his work in the forest, and while he was cutting wood, suddenly there stood before him a tall and beautiful woman with a crown of shining stars on her head, who said to him, "I am the Virgin Mary, mother of the child Jesus.
3	She wanted to cry out, but she could bring forth no sound.
3	"Nothing, nothing; only leave me to myself," he answered but the tears were running down his cheeks.
3	It makes me unhappy to think that I shall die, and leave this poor child," sighed she.
2	Then the child opened his eyes and looked into the glorious happy face of the angel, and at the same moment they found themselves in that heavenly home where all is happiness and joy.
2	"The sun is so warm, I quite enjoy it.
0	Then the miser grew angry, and said, "Oh, but I can"t make any use of you, you strike far too powerfully; what will you have for the one blow?"
2	But as he drew near home, his little boy was so glad to see him that he crept behind him, and laid fast hold of his legs, and looked up in his face and laughed.
4	Well, one day some people came, who took hold of the flax, and pulled it up by the roots; this was painful; then it was laid in water as if they intended to drown it; and, after that, placed near a fire as if it were to be roasted; all this was very shocking.
3	A week has passed; this morning his death was in the newspaper, that is the reason of the girl's mourning!
2	Mr. Alfred again spoke of Italy, and of the glorious colors in Italian scenery; the purple hills, the deep blue of the Mediterranean, the azure of southern skies, whose brightness and glory could only be surpassed in the north by the deep-blue eyes of a maiden; and he said this with a peculiar intonation; but she who should have understood his meaning looked quite unconscious of it, which also was charming.
3	FAR down in the forest, where the warm sun and the fresh air made a sweet resting-place, grew a pretty little fir-tree; and yet it was not happy, it wished so much to be tall like its companions- the pines and firs which grew around it.
2	"'Pygmalion loved his Galatea,' was in the song they sung at my first wedding," said Alfred; "I once fell in love with a beautiful statue, which awoke to life in my arms; but the kindred soul, which is a gift from heaven, the angel who can feel and sympathize with and elevate us, I have not found and won till now.
1	She cried, "No, no I cannot bear it," and opened the other window, because drops of perspiration were running down her forehead.
1	"Oh!
3	They ran on a little farther, and then Christina fell down, and began to cry.
2	The little boy said not a word; he was half pleased and half afraid.
1	The guest, however, thought no otherwise than that he was to give up one of his ears, and ran as if fire were burning under him, in order to take them both with him.
1	Her terror too would not quit her, let her do what she might, and her heart beat continually and would not be still; the gold too stayed on her finger, and would not go away, let her rub it and wash it never so much.
3	At last a very little girl came out of one of the wretched-looking houses, and Ib asked her to tell him the way to the street he wanted; she looked up timidly at him, and began to cry bitterly.
0	And now as he was walking slowly through the sand, and the sun was burning hot at noon-day, he grew quite hot-tempered and angry.
3	Dark days and cold nights also passed over the old bell, and it noticed them not; but the bell in the man's heart felt it to be a gloomy time.
2	When the seven kids saw that, they came running to the spot and cried aloud: "The wolf is dead!
2	"Wonderful weather this," cried one of them, "and so refreshing.
3	He bent his head mournfully, and sighed in deep sorrow, as an unquiet spirit might sigh.
4	It bewildered him as he thought of it.
2	They leapt nimbly upstairs and downstairs, and were merry and happy.
2	"What a wonderful quantity of plants," cried the beetle; "how good they will taste when they are decayed!
3	"Oh, my poor mother!" he cried, while the tears rolled down his cheeks.
2	The little rabbits smiled sweetly in their sleep under the shower of grass; they did not awake because the lettuces had been so soporific.
2	We"ll laugh and be merry, Sing neigh down derry!"
2	"The word was so easy, the deed so small," she said, "the joy it afforded me was infinitely great and sweet!"
0	When the king saw the blood on her apron, he believed this, fell into such a passion that he ordered a high tower to be built, in which neither sun nor moon could be seen and had his wife put into it, and walled up.
2	"Oh how funny!" said Ida, and she laughed.
